site_code,sstmean,chlomean,nitrate,phos,wave_exposure,relief,reef_slope,currents
DE4,14.387,5.429,2.574,0.328,2,3,2,1
DE46,14.387,5.429,2.574,0.328,1,2,4,3
DE7,14.165,6.867,2.659,0.3389,2,3,2,1
JBMP6,19.354,0.71,0.628,0.2001,2,2,2,2
NSW5,17.858,0.969,0.803,0.2346,3,2,2,1
PS13,20.578,6.863,0.55,0.176,2,2,2,4
PS17,20.578,6.863,0.55,0.176,2,3,2,4
QLD43,26.793,0.35,0.714,0.1269,2,3,3,1
QLD44,26.793,0.35,0.714,0.1269,2,3,3,2
QLD48,26.793,0.35,0.714,0.1269,2,4,2,2
QLD51,26.775,0.271,0.715,0.1276,2,3,3,3
SI21,22.362,0.747,0.461,0.2131,4,2,2,1
SI6,22.362,0.747,0.461,0.2131,3,3,2,1
SYD1,19.638,0.513,0.534,0.1937,1,2,2,1
SYD3,19.638,0.513,0.534,0.1937,1,2,2,1
SYD30,20.247,0.584,0.551,0.1928,1,2,2,1
SYD31,20.247,0.584,0.551,0.1928,1,2,2,1
SYD37,20.225,0.436,0.539,0.1924,2,3,3,1
SYD6,20.247,0.584,0.551,0.1928,1,2,2,1
SYD9,20.247,0.584,0.551,0.1928,1,2,2,1
TAS26,13.757,4.352,2.738,0.3459,1,3,3,2
TAS43,13.757,4.352,2.738,0.3459,1,3,3,2
NSW47,17.858,0.969,0.803,0.2346,3,2,2,1
TAS84,14.883,0.545,1.929,0.2732,2,2,2,2
TAS88,14.883,0.545,1.929,0.2732,3,3,3,3
EMR1,22.51,0.259,1.058,0.1652,2,1,1,2
EMR18,22.475,0.462,1.125,0.1644,3,2,2,2
EMR2,22.51,0.259,1.058,0.1652,1,2,1,2
EMR20,22.475,0.462,1.125,0.1644,1,3,2,1
EMR25,22.33,0.165,1.114,0.1645,3,2,2,3
EMR5,22.51,0.259,1.058,0.1652,3,2,3,4
EMR8,22.476,0.372,1.066,0.1652,3,3,3,2
KG-S13,15.386,0.418,0.885,0.1991,3,3,3,3
KG-S15,15.503,0.41,0.894,0.2006,3,3,3,1
KG-S4,15.386,0.418,0.885,0.1991,2,3,3,3
BS-S8,15.512,0.438,0.772,0.1875,2,2,2,2
NIN-S1,13.784,11.064,2.889,0.361,3,3,3,2
NIN-S2,13.784,11.064,2.889,0.361,2,3,3,2
GBR24,25.823,0.734,0.532,0.1457,2,3,3,4
GBR27,25.894,0.542,0.533,0.1452,2,4,2,3
EMR37,,,,,4,2,2,2
EMR42,,,,,1,2,2,1
GBR76,,,,,2,2,3,3
JBMP25,,,,,2,2,1,2
SI29,,,,,1,1,2,3
