species_name,class,max_obs_length_cm
Manta alfredi,Elasmobranchii,200
Manta birostris,Elasmobranchii,200
Myliobatis australis,Elasmobranchii,200
Orectolobus halei,Elasmobranchii,200
Orectolobus maculatus,Elasmobranchii,200
Achoerodus viridis,Actinopterygii,137.5
Aptychotrema rostrata,Elasmobranchii,137.5
Carcharhinus galapagensis,Elasmobranchii,137.5
Heterodontus portusjacksoni,Elasmobranchii,137.5
Brachaelurus waddi,Elasmobranchii,125
Orectolobus ornatus,Elasmobranchii,125
Epinephelus daemelii,Actinopterygii,112.5
Gymnothorax prasinus,Actinopterygii,112.5
Platycephalus fuscus,Actinopterygii,112.5
Cephaloscyllium laticeps,Elasmobranchii,100
Carcharhinus amblyrhynchos,Elasmobranchii,87.5
Comanthus trichoptera,Crinoidea,87.5
Gymnomuraena zebra,Actinopterygii,87.5
Heterodontus galeatus,Elasmobranchii,87.5
Hypnos monopterygius,Elasmobranchii,87.5
Seriola lalandi,Actinopterygii,87.5
Variola louti,Actinopterygii,87.5
Aulostomus chinensis,Actinopterygii,75
Cheilinus undulatus,Actinopterygii,75
Fistularia commersonii,Actinopterygii,75
Kyphosus sydneyanus,Actinopterygii,75
Naso tonganus,Actinopterygii,75
Sepioteuthis australis,Cephalopoda,75
Trygonoptera testacea,Elasmobranchii,75
Argyrosomus japonicus,Actinopterygii,62.5
Cheilodactylus fuscus,Actinopterygii,62.5
Cnidoglanis macrocephalus,Actinopterygii,62.5
Diagramma labiosum,Actinopterygii,62.5
Echeneis naucrates,Actinopterygii,62.5
Epinephelus undulatostriatus,Actinopterygii,62.5
Girella elevata,Actinopterygii,62.5
Gymnothorax cribroris,Actinopterygii,62.5
Gymnothorax prionodon,Actinopterygii,62.5
Holothuria atra,Holothuroidea,62.5
Lutjanus bohar,Actinopterygii,62.5
Octopus tetricus,Cephalopoda,62.5
Plectropomus leopardus,Actinopterygii,62.5
Prionurus microlepidotus,Actinopterygii,62.5
Scarus altipinnis,Actinopterygii,62.5
Scarus ghobban,Actinopterygii,62.5
Xiphasia setifer,Actinopterygii,62.5
Acanthaluteres vittiger,Actinopterygii,50
Anyperodon leucogrammicus,Actinopterygii,50
Aplodactylus lophodon,Actinopterygii,50
Aprion virescens,Actinopterygii,50
Arothron stellatus,Actinopterygii,50
Bodianus perditio,Actinopterygii,50
Cetoscarus bicolor,Actinopterygii,50
Chlorurus microrhinos,Actinopterygii,50
Choerodon schoenleinii,Actinopterygii,50
Coris bulbifrons,Actinopterygii,50
Dicotylichthys punctulatus,Actinopterygii,50
Dinolestes lewini,Actinopterygii,50
Girella tricuspidata,Actinopterygii,50
Gnathanodon speciosus,Actinopterygii,50
Gymnothorax eurostus,Actinopterygii,50
Notolabrus tetricus,Actinopterygii,50
Ophthalmolepis lineolatus,Actinopterygii,50
Plectorhinchus chaetodonoides,Actinopterygii,50
Plectorhinchus chrysotaenia,Actinopterygii,50
Plectorhinchus flavomaculatus,Actinopterygii,50
Plectorhinchus lineatus,Actinopterygii,50
Prionurus maculatus,Actinopterygii,50
Rhabdosargus sarba,Actinopterygii,50
Sepia apama,Cephalopoda,50
Spiniraja whitleyi,Elasmobranchii,50
Symphorichthys spilurus,Actinopterygii,50
Trygonorrhina fasciata,Elasmobranchii,50
Urolophus cruciatus,Elasmobranchii,50
Urolophus paucimaculatus,Elasmobranchii,50
Acanthistius ocellatus,Actinopterygii,40
Acanthopagrus australis,Actinopterygii,40
Acanthurus xanthopterus,Actinopterygii,40
Aplodactylus arctidens,Actinopterygii,40
Arothron hispidus,Actinopterygii,40
Caranx melampygus,Actinopterygii,40
Cheilodactylus spectabilis,Actinopterygii,40
